Episode,Episode Reward,Action Type
0,50.0,Explore
1,21.0,Explore
2,19.0,Explore
3,9.0,Explore
4,11.0,Explore
5,24.0,Explore
6,19.0,Explore
7,19.0,Explore
8,28.0,Explore
9,62.0,Explore
10,13.0,Explore
11,9.0,Explore
12,21.0,Explore
13,28.0,Explore
14,13.0,Explore
15,23.0,Explore
16,18.0,Explore
17,25.0,Explore
18,29.0,Explore
19,48.0,Explore
20,9.0,Explore
21,24.0,Explore
22,18.0,Explore
23,19.0,Explore
24,15.0,Explore
25,32.0,Explore
26,12.0,Explore
27,27.0,Explore
28,32.0,Explore
29,10.0,Explore
30,26.0,Explore
31,48.0,Explore
32,14.0,Explore
33,21.0,Explore
34,16.0,Explore
35,13.0,Explore
36,24.0,Explore
37,19.0,Exploit
38,19.0,Explore
39,15.0,Exploit
40,14.0,Explore
41,23.0,Explore
42,12.0,Explore
43,22.0,Explore
44,77.0,Explore
45,23.0,Explore
46,11.0,Explore
47,56.0,Exploit
48,21.0,Explore
49,16.0,Explore
50,57.0,Exploit
51,14.0,Exploit
52,28.0,Explore
53,9.0,Exploit
54,122.0,Exploit
55,13.0,Explore
56,33.0,Explore
57,14.0,Explore
58,77.0,Explore
59,11.0,Exploit
60,19.0,Exploit
61,35.0,Explore
62,32.0,Explore
63,38.0,Exploit
64,15.0,Exploit
65,26.0,Explore
66,106.0,Explore
67,22.0,Exploit
68,13.0,Explore
69,43.0,Exploit
70,79.0,Exploit
71,24.0,Exploit
72,12.0,Exploit
73,21.0,Exploit
74,30.0,Explore
75,54.0,Exploit
76,18.0,Exploit
77,30.0,Explore
78,87.0,Exploit
79,48.0,Exploit
80,23.0,Explore
81,118.0,Explore
82,13.0,Explore
83,45.0,Exploit
84,40.0,Exploit
85,26.0,Explore
86,24.0,Exploit
87,25.0,Exploit
88,11.0,Explore
89,26.0,Exploit
90,37.0,Exploit
91,20.0,Explore
92,23.0,Exploit
93,73.0,Explore
94,21.0,Explore
95,87.0,Exploit
96,17.0,Exploit
97,11.0,Explore
98,28.0,Exploit
99,81.0,Exploit
100,69.0,Exploit
101,25.0,Explore
102,16.0,Explore
103,18.0,Exploit
104,30.0,Explore
105,143.0,Exploit
106,99.0,Exploit
107,15.0,Exploit
108,40.0,Explore
109,21.0,Exploit
110,16.0,Exploit
111,27.0,Explore
112,87.0,Exploit
113,12.0,Exploit
114,122.0,Explore
115,82.0,Exploit
116,25.0,Exploit
117,127.0,Exploit
118,12.0,Explore
119,77.0,Exploit
120,20.0,Explore
121,43.0,Exploit
122,195.0,Explore
123,151.0,Explore
124,14.0,Explore
125,18.0,Explore
126,57.0,Exploit
127,500.0,Exploit
128,227.0,Exploit
129,13.0,Explore
130,54.0,Explore
131,16.0,Exploit
132,72.0,Explore
133,149.0,Exploit
134,12.0,Exploit
135,48.0,Exploit
136,38.0,Explore
137,21.0,Exploit
138,9.0,Explore
139,109.0,Explore
140,426.0,Exploit
141,20.0,Exploit
142,500.0,Explore
143,219.0,Exploit
144,44.0,Exploit
145,19.0,Exploit
146,453.0,Exploit
147,33.0,Exploit
148,19.0,Exploit
149,41.0,Explore
150,18.0,Explore
151,27.0,Exploit
152,30.0,Exploit
153,26.0,Exploit
154,357.0,Exploit
155,18.0,Exploit
156,14.0,Exploit
157,9.0,Exploit
158,17.0,Exploit
159,9.0,Exploit
160,46.0,Exploit
161,72.0,Explore
162,12.0,Exploit
163,430.0,Explore
164,500.0,Exploit
165,500.0,Exploit
166,500.0,Exploit
167,500.0,Exploit
168,376.0,Exploit
169,26.0,Exploit
170,500.0,Exploit
171,500.0,Exploit
172,329.0,Exploit
173,33.0,Explore
174,21.0,Exploit
175,30.0,Exploit
176,42.0,Exploit
177,9.0,Exploit
178,71.0,Exploit
179,30.0,Exploit
180,133.0,Exploit
181,10.0,Exploit
182,444.0,Exploit
183,59.0,Exploit
184,61.0,Exploit
185,34.0,Exploit
186,48.0,Exploit
187,44.0,Exploit
188,500.0,Exploit
189,500.0,Exploit
190,500.0,Exploit
191,500.0,Exploit
192,500.0,Exploit
193,500.0,Exploit
194,500.0,Exploit
195,500.0,Exploit
196,500.0,Exploit
197,500.0,Exploit
198,500.0,Exploit
199,500.0,Exploit
200,500.0,Exploit
201,500.0,Exploit
202,500.0,Exploit
203,500.0,Exploit
204,500.0,Exploit
205,500.0,Exploit
206,500.0,Exploit
207,500.0,Exploit
208,48.0,Exploit
209,200.0,Exploit
210,10.0,Explore
211,500.0,Exploit
212,500.0,Exploit
213,500.0,Exploit
214,500.0,Exploit
215,500.0,Exploit
216,500.0,Exploit
217,500.0,Exploit
218,500.0,Exploit
219,500.0,Exploit
220,500.0,Explore
221,500.0,Exploit
222,500.0,Exploit
223,500.0,Exploit
224,500.0,Exploit
225,500.0,Exploit
226,500.0,Exploit
227,500.0,Exploit
228,500.0,Exploit
229,500.0,Exploit
230,500.0,Exploit
231,500.0,Exploit
232,500.0,Exploit
233,500.0,Explore
234,500.0,Exploit
235,500.0,Exploit
236,500.0,Exploit
237,500.0,Exploit
238,500.0,Exploit
239,500.0,Exploit
240,500.0,Exploit
241,500.0,Exploit
242,500.0,Exploit
243,500.0,Exploit
244,500.0,Exploit
245,500.0,Exploit
246,500.0,Exploit
247,500.0,Exploit
248,500.0,Exploit
249,500.0,Exploit
250,500.0,Exploit
251,500.0,Exploit
252,500.0,Exploit
253,500.0,Exploit
254,500.0,Exploit
255,500.0,Exploit
256,500.0,Exploit
257,500.0,Exploit
258,500.0,Exploit
259,500.0,Exploit
260,500.0,Exploit
261,500.0,Exploit
262,500.0,Exploit
263,500.0,Exploit
264,500.0,Exploit
265,500.0,Exploit
266,500.0,Exploit
267,500.0,Exploit
268,500.0,Exploit
269,500.0,Exploit
270,500.0,Exploit
271,500.0,Exploit
272,500.0,Exploit
273,500.0,Exploit
274,500.0,Exploit
275,500.0,Exploit
276,500.0,Exploit
277,500.0,Exploit
278,500.0,Exploit
279,500.0,Exploit
280,500.0,Exploit
281,500.0,Exploit
282,500.0,Exploit
283,500.0,Exploit
284,500.0,Exploit
285,500.0,Exploit
286,500.0,Exploit
287,500.0,Exploit
288,500.0,Exploit
289,500.0,Exploit
290,500.0,Exploit
291,500.0,Exploit
292,500.0,Exploit
293,500.0,Exploit
294,500.0,Exploit
295,500.0,Exploit
296,500.0,Exploit
297,500.0,Exploit
298,500.0,Exploit
299,500.0,Exploit
300,500.0,Exploit
301,500.0,Exploit
302,500.0,Exploit
303,500.0,Exploit
304,500.0,Exploit
305,500.0,Exploit
306,500.0,Exploit
307,500.0,Exploit
308,500.0,Exploit
309,500.0,Exploit
310,500.0,Exploit
311,500.0,Exploit
312,500.0,Exploit
313,500.0,Exploit
314,500.0,Exploit
315,500.0,Exploit
316,500.0,Exploit
317,500.0,Exploit
318,500.0,Exploit
319,500.0,Exploit
320,500.0,Exploit
321,500.0,Exploit
322,500.0,Exploit
323,500.0,Exploit
324,500.0,Exploit
325,500.0,Exploit
326,500.0,Exploit
327,500.0,Exploit
328,500.0,Exploit
329,500.0,Exploit
330,500.0,Exploit
331,500.0,Exploit
332,500.0,Exploit
333,500.0,Exploit
334,500.0,Exploit
335,500.0,Exploit
336,500.0,Exploit
337,500.0,Exploit
338,500.0,Exploit
339,500.0,Exploit
340,500.0,Exploit
341,500.0,Exploit
342,500.0,Exploit
343,500.0,Exploit
344,500.0,Exploit
345,500.0,Exploit
346,500.0,Exploit
347,500.0,Exploit
348,500.0,Exploit
349,500.0,Exploit
